date,amount,money,open,max,min,close,delta,deal
0114/01/13,157188534,27407637685,180,180.5,171.5,171.5,-10,192669
0114/01/14,64355673,11130474220,171.5,174.5,171,174.5,3,52963
0114/01/15,60432737,10411822201,174.5,175.5,171,171,-3.5,65891
0114/01/16,42128703,7331867358,175,176,173,173.5,2.5,32338
0114/01/17,47442329,8231498177,173,175.5,172,173.5,0,33175
0114/01/20,35167919,6214216149,174.5,178,174.5,178,4.5,44005
0114/01/21,32613034,5818448615,178.5,180,177,178.5,0.5,31806
0114/01/22,44375092,7991917051,180.5,181,178.5,180,1.5,34107
0114/02/03,168103694,27880932586,164,168,163.5,165.5,-14.5,203537
0114/02/04,68458788,11379696528,167,169,165,165,-0.5,73349
0114/02/05,53304973,9033062898,167,171.5,167,171,6,42917
0114/02/06,41060652,7081097296,172.5,174,171,173,2,31971
0114/02/07,52118210,9202320428,175,178,174,178,5,44998
0114/02/10,37723196,6590892944,176,176.5,174,174,-4,48491
0114/02/11,71048641,12782953142,178,182,176,179,5,48761
0114/02/12,42666219,7608185758,181.5,181.5,177,177,-2,63003
0114/02/13,40596733,7259602358,177,181,177,180,3,24848
0114/02/14,26925038,4808438797,180,180.5,177.5,178,-2,25657
0114/02/17,47251327,8577655581,179.5,182.5,179,182.5,4.5,34023
0114/02/18,27184244,4958070370,183,184,181,183.5,1,22580
0114/02/19,35389548,6488063362,183.5,184.5,182,183,-0.5,27655
0114/02/20,23659372,4311924877,183,183.5,181.5,182,-1,20159
0114/02/21,35359340,6465535028,181.5,184,181,183,1,21572
0114/02/24,27928907,5103161593,181,184,180.5,184,1,21220
0114/02/25,70811787,12690044507,181.5,182,177.5,177.5,-6.5,73391
0114/02/26,45145771,8041430005,175,181,174.5,180.5,3,29868
0114/02/27,81509723,14374897915,180,181.5,174,174,-6.5,74546
0114/03/03,70556492,12112410727,172,175,170,170,-4,76523
0114/03/04,68468000,11557537500,165.5,172,165,170.5,0.5,30810
0114/03/05,45247409,7835171901,171.5,175,171.5,173.5,3,31718
0114/03/06,28989951,5056441595,175.5,176,173.5,173.5,0,25315
0114/03/07,32241175,5557612061,171,174.5,171,172,-1.5,29461
0114/3/10,"36,673,846","6,293,376,887",173.5,174,170,172,0,"26004"
0114/3/11,"69,729,259","11,667,727,498",166,169.5,165,168.5,-3.5,"65332"
0114/3/12,"40,265,436","6,856,729,961",169,171.5,169,170.5,2,"29547"
